Altitude(ft),Download Speed,Lat,Lon,Upload Speed,Latency,Alt
320,6.727472,42.35332275,-71.11760711,13.8236,26,320
320,9.566816,42.35349325,-71.11696228,15.534976,24,320
320,10.135168,42.35349325,-71.11696228,19.720592,29,320
320,8.496112,42.35349325,-71.11696228,11.877232,28,320
320,4.833064,42.35349325,-71.11696228,12.45164,29,320
320,15.245696,42.35349325,-71.11696228,8.859584,24,320
320,3.511304,42.35349325,-71.11696228,13.021592,28,320
320,21.556944,42.35349325,-71.11696228,18.363248,29,320
320,11.028072,42.35349325,-71.11696228,17.006528,26,320
320,13.460168,42.35349325,-71.11696228,14.081496,28,320
,,,,,,
260,45.181808,42.35349325,-71.11696228,17.489904,24,260
260,30.394656,42.35349325,-71.11696228,24.5504,23,260
260,25.078384,42.35349325,-71.11696228,11.611536,29,260
260,21.848528,42.35349325,-71.11696228,11.70764,27,260
260,14.325856,42.35349325,-71.11696228,9.70268,25,260
260,9.545928,42.35349325,-71.11696228,4.315416,26,260
260,1.85896,42.35346473,-71.11907232,8.965776,25,260
260,7.932456,42.35346473,-71.11907232,11.145848,27,260
260,11.668624,42.35346473,-71.11907232,18.57508,34,260
260,34.858016,42.35346473,-71.11907232,26.293096,24,260
,,,,,,
200,14.543456,42.3542638,-71.11731022,29.673472,29,200
200,7.275032,42.3542638,-71.11731022,5.317152,24,200
200,28.85952,42.3542638,-71.11731022,17.959888,32,200
200,27.18168,42.3542638,-71.11731022,30.078696,29,200
200,24.780624,42.3542638,-71.11731022,24.99524,23,200
200,40.020864,42.3542638,-71.11731022,16.904376,29,200
200,62.532208,42.3542638,-71.11731022,56.46736,27,200
200,34.096,42.3542638,-71.11731022,16.224368,27,200
200,29.471544,42.3542638,-71.11731022,13.558688,31,200
200,44.106512,42.3542638,-71.11731022,10.027024,27,200
,,,,,,
125,4.180696,42.35366006,-71.11795394,12.793904,27,125
125,7.306248,42.35366006,-71.11795394,22.264552,27,125
125,16.71256,42.35366006,-71.11795394,24.992528,27,125
125,24.740176,42.35366006,-71.11795394,28.733728,31,125
125,21.137976,42.35366006,-71.11795394,16.573888,22,125
125,58.730488,42.35366006,-71.11795394,25.026784,29,125
125,76.706328,42.35366006,-71.11795394,36.808824,24,125
125,55.656576,42.35366006,-71.11795394,31.607696,27,125
125,45.155576,42.35366006,-71.11795394,23.799744,26,125
125,46.96124,42.35366006,-71.11795394,33.249664,29,125
,,,,,,
,,,,,,
28.89884186,58.218,42.35200119,-71.11599731,32,28.442,28.89884186
28.89884186,32.499,42.35200119,-71.11599731,29,26.544,28.89884186
28.89884186,50.495,42.35200119,-71.11599731,30,26.098,28.89884186
28.89881897,52.089,42.35200119,-71.11599731,33,30,28.89881897
28.89877701,54.082,42.35200119,-71.11599731,28,26.242,28.89877701
28.89875031,17.616,42.35200119,-71.11599731,31,26.184,28.89875031
28.89871597,20.7,42.35200119,-71.11599731,36,25.532,28.89871597
28.89870453,24.379,42.35200119,-71.11599731,29,26.519,28.89870453
28.89868546,17.636,42.35200119,-71.11599731,27,24.979,28.89868546
28.89866638,21.668,42.35200119,-71.11599731,38,32.834,28.89866638
28.89169121,26.389,42.34999847,-71.11100006,36,67.202,28.89169121
28.88984108,74.117,42.34999847,-71.11000061,38,68.371,28.88984108
28.88961792,154.74,42.34999847,-71.10900116,26,70.223,28.88961792
28.88754654,75.811,42.34999847,-71.10800171,32,65.765,28.88754654
28.8855648,100.604,42.34999847,-71.10700226,29,66.03,28.8855648
28.8840847,134.677,42.34999847,-71.10600281,26,65.933,28.8840847
28.88227844,126.811,42.34999847,-71.10500336,33,67.214,28.88227844
28.88101578,157.767,42.34999847,-71.10399628,28,61.653,28.88101578
28.88036728,157.767,42.34999847,-71.10399628,28,61.653,28.88036728
28.88028717,157.767,42.34999847,-71.10399628,28,61.653,28.88028717
28.88034058,157.767,42.34999847,-71.10399628,28,61.653,28.88034058
28.8803215,157.767,42.34999847,-71.10399628,28,61.653,28.8803215
28.88031006,157.767,42.34999847,-71.10399628,28,61.653,28.88031006
28.88031387,157.767,42.34999847,-71.10399628,28,61.653,28.88031387
28.88025284,157.767,42.34999847,-71.10399628,28,61.653,28.88025284
28.88032913,157.767,42.34999847,-71.10399628,28,61.653,28.88032913
28.88024139,157.767,42.34999847,-71.10399628,28,61.653,28.88024139
28.88034058,157.767,42.34999847,-71.10399628,28,61.653,28.88034058
28.8803215,157.767,42.34999847,-71.10399628,28,61.653,28.8803215
28.88036728,157.767,42.34999847,-71.10399628,28,61.653,28.88036728
28.88027191,157.767,42.34999847,-71.10399628,28,61.653,28.88027191
28.88031006,157.767,42.34999847,-71.10399628,28,61.653,28.88031006
28.88080978,157.767,42.34999847,-71.10399628,28,61.653,28.88080978
28.88090134,157.767,42.34999847,-71.10399628,28,61.653,28.88090134
28.88072586,157.767,42.34999847,-71.10399628,28,61.653,28.88072586
28.88074493,157.767,42.34999847,-71.10399628,28,61.653,28.88074493
28.88079834,157.767,42.34999847,-71.10399628,28,61.653,28.88079834
